"Title","AWE: Public Sector Index: Seasonally Adjusted Total Pay Excluding Arrears"
"CDID","K54W"
"Source dataset ID","EMP"
"PreUnit",""
"Unit",""
"Release date","15-11-2022"
"Next release","13 December 2022"
"Important notes",
"2000","100.0"
"2001","105.2"
"2002","109.3"
"2003","114.5"
"2004","119.4"
"2005","125.7"
"2006","130.1"
"2007","134.3"
"2008","139.1"
"2009","143.7"
"2010","148.7"
"2011","152.5"
"2012","155.0"
"2013","155.6"
"2014","156.6"
"2015","158.1"
"2016","160.6"
"2017","163.1"
"2018","167.3"
"2019","172.8"
"2020","179.5"
"2021","185.5"
"2000 Q1","99.9"
"2000 Q2","99.1"
"2000 Q3","99.8"
"2000 Q4","101.2"
"2001 Q1","103.1"
"2001 Q2","104.8"
"2001 Q3","106.0"
"2001 Q4","106.8"
"2002 Q1","107.8"
"2002 Q2","108.7"
"2002 Q3","109.4"
"2002 Q4","111.3"
"2003 Q1","112.3"
"2003 Q2","113.5"
"2003 Q3","115.4"
"2003 Q4","116.7"
"2004 Q1","117.4"
"2004 Q2","118.6"
"2004 Q3","119.8"
"2004 Q4","121.8"
"2005 Q1","123.2"
"2005 Q2","125.0"
"2005 Q3","126.6"
"2005 Q4","127.8"
"2006 Q1","128.7"
"2006 Q2","129.5"
"2006 Q3","130.4"
"2006 Q4","131.6"
"2007 Q1","132.9"
"2007 Q2","134.0"
"2007 Q3","134.6"
"2007 Q4","135.8"
"2008 Q1","137.4"
"2008 Q2","138.6"
"2008 Q3","139.8"
"2008 Q4","140.7"
"2009 Q1","141.2"
"2009 Q2","143.1"
"2009 Q3","144.8"
"2009 Q4","145.7"
"2010 Q1","147.5"
"2010 Q2","148.3"
"2010 Q3","148.7"
"2010 Q4","150.4"
"2011 Q1","152.1"
"2011 Q2","152.4"
"2011 Q3","152.6"
"2011 Q4","152.8"
"2012 Q1","153.5"
"2012 Q2","154.5"
"2012 Q3","156.2"
"2012 Q4","155.8"
"2013 Q1","155.7"
"2013 Q2","155.8"
