month,Incomplete RTT pathways_Median wait (weeks),Incomplete RTT pathways_92nd percentile (weeks),Incomplete RTT pathways_No. within 18 weeks,Incomplete RTT pathways_% within 18 weeks,Incomplete RTT pathways_No. > 18 weeks,Incomplete RTT pathways_No. > 52 weeks,Incomplete RTT pathways_% > 52 weeks,Incomplete RTT pathways_No. > 78 weeks,Incomplete RTT pathways_No. > 104 weeks,Incomplete RTT pathways_Total waiting (mil),Admitted (unadjusted) RTT pathways_Median wait (weeks),Admitted (unadjusted) RTT pathways_95th percentile (weeks),Admitted (unadjusted) RTT pathways_No. within 18 weeks,Admitted (unadjusted) RTT pathways_No. > 52 weeks,Admitted (unadjusted) RTT pathways_No. of pathways (all),NonAdmitted RTT pathways_Median wait (weeks),NonAdmitted RTT pathways_95th percentile (weeks),NonAdmitted RTT pathways_No. within 18 weeks,NonAdmitted RTT pathways_No. > 52 weeks,NonAdmitted RTT pathways_No. of pathways (all)
10-Jan,6.5,20.3,2075443,0.9,239617,20737,0.01,,,2.32,9.2,23.2,251972,566,285034,4.9,15.5,794900,882,813679
10-Feb,5.3,19.7,2109462,0.9,227636,18681,0.01,,,2.34,9.5,23.5,263698,657,300250,3.8,15.5,827198,782,846361
10-Mar,5.2,18.9,2205542,0.91,214983,18494,0.01,,,2.42,8.3,23.4,311428,645,351565,3.8,15.4,957320,1091,979206
10-Apr,5.6,19,2290852,0.91,217643,21098,0.01,,,2.51,8.3,23.7,256415,468,290216,4.3,14.4,822721,921,840585
10-May,5.5,18.1,2364484,0.92,209411,18458,0.01,,,2.57,8.7,23.6,263013,483,291845,4.3,14.6,842612,1039,858750
10-Jun,5.7,18.6,2347510,0.91,221588,18221,0.01,,,2.57,8.6,22.3,291012,590,323619,4.4,14.9,942117,877,960022
10-Jul,5.8,19.2,2413409,0.91,243205,19585,0.01,,,2.66,8.7,22.4,280785,671,313814,4.3,14.9,921418,849,940109
10-Aug,6.2,19.9,2391511,0.9,263389,20855,0.01,,,2.65,8.6,22.6,257921,513,288308,4.4,15,856885,787,874747
10-Sep,6,19.6,2341244,0.9,249726,13442,0.01,,,2.59,9.1,23.3,275387,550,312812,4.7,15.5,927108,720,948233
10-Oct,5.9,19.8,2320939,0.9,250880,14254,0.01,,,2.57,9.1,23.4,268162,609,304159,4.3,15.6,862251,1090,883326
